Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country,Amount (IND),Category_Risk Score,Category_Amt (IND),
TX0000000051,South Africa,799057,Property Purchase,1/3/13 2:00,Person_9899,Real Estate,China,FALSE,Illegal,4,9,Bank_72,Singapore,71116073,Less Risk,Large Transaction,
TX0000000052,Switzerland,964720,Offshore Transfer,1/3/13 3:00,Person_298,Construction,China,FALSE,Legal,10,2,Bank_42,Cayman Islands,85860080,Large Risk,Large Transaction,
TX0000000053,Brazil,917555,Stocks Transfer,1/3/13 4:00,Person_3863,Construction,India,FALSE,Illegal,1,2,Bank_49,Switzerland,81662395,Less Risk,Large Transaction,
TX0000000054,South Africa,1980947,Cash Withdrawal,1/3/13 5:00,Person_9641,Arms Trade,Brazil,FALSE,Illegal,9,5,Bank_18,Singapore,176304283,Large Risk,Large Transaction,
TX0000000055,China,3432917,Cryptocurrency,1/3/13 6:00,Person_892,Casinos,China,FALSE,Illegal,9,7,Bank_174,Panama,305529613,Large Risk,Large Transaction,
TX0000000056,Brazil,4295547,Cash Withdrawal,1/3/13 7:00,Person_8609,Oil & Gas,Singapore,FALSE,Legal,9,0,Bank_340,Singapore,382303683,Large Risk,Large Transaction,
TX0000000057,USA,1351397,Cryptocurrency,1/3/13 8:00,Person_592,Casinos,China,TRUE,Legal,8,9,Bank_63,Cayman Islands,120274333,Medium Risk,Large Transaction,
TX0000000058,Russia,65964,Property Purchase,1/3/13 9:00,Person_1172,Luxury Goods,Singapore,TRUE,Legal,10,6,Bank_3,Bahamas,5870796,Large Risk,Medium Transaction,
TX0000000059,Brazil,813474,Property Purchase,1/3/13 10:00,Person_3900,Oil & Gas,UK,FALSE,Legal,4,0,Bank_187,Bahamas,72399186,Less Risk,Large Transaction,
TX0000000060,South Africa,3970618,Offshore Transfer,1/3/13 11:00,Person_1992,Arms Trade,Russia,FALSE,Illegal,1,2,Bank_110,Bahamas,353385002,Less Risk,Large Transaction,
TX0000000061,USA,1581521,Property Purchase,1/3/13 12:00,Person_5231,Oil & Gas,Russia,TRUE,Legal,4,6,Bank_479,Cayman Islands,140755369,Less Risk,Large Transaction,
TX0000000062,USA,1164391,Cryptocurrency,1/3/13 13:00,Person_9220,Luxury Goods,UAE,FALSE,Illegal,7,9,Bank_418,Singapore,103630799,Medium Risk,Large Transaction,
TX0000000063,USA,2177304,Stocks Transfer,1/3/13 14:00,Person_6310,Real Estate,Russia,FALSE,Illegal,10,9,Bank_146,Bahamas,193780056,Large Risk,Large Transaction,
TX0000000064,South Africa,2524959,Cash Withdrawal,1/3/13 15:00,Person_7570,Casinos,USA,FALSE,Illegal,3,5,Bank_337,Cayman Islands,224721351,Less Risk,Large Transaction,
TX0000000065,Singapore,2311265,Property Purchase,1/3/13 16:00,Person_6019,Arms Trade,Russia,FALSE,Legal,5,4,Bank_154,Bahamas,205702585,Medium Risk,Large Transaction,
TX0000000066,USA,4033120,Cash Withdrawal,1/3/13 17:00,Person_9886,Finance,UK,FALSE,Illegal,2,3,Bank_296,Panama,358947680,Less Risk,Large Transaction,
TX0000000067,USA,1904412,Offshore Transfer,1/3/13 18:00,Person_9544,Arms Trade,India,FALSE,Illegal,7,0,Bank_187,Bahamas,169492668,Medium Risk,Large Transaction,
TX0000000068,Brazil,2075346,Property Purchase,1/3/13 19:00,Person_1710,Real Estate,South Africa,FALSE,Illegal,7,4,Bank_18,Switzerland,184705794,Medium Risk,Large Transaction,
TX0000000069,Russia,2952315,Offshore Transfer,1/3/13 20:00,Person_9460,Oil & Gas,Russia,FALSE,Illegal,4,7,Bank_491,Bahamas,262756035,Less Risk,Large Transaction,
TX0000000070,Brazil,2053475,Cryptocurrency,1/3/13 21:00,Person_5888,Luxury Goods,Switzerland,TRUE,Illegal,9,1,Bank_424,Singapore,182759275,Large Risk,Large Transaction,
TX0000000071,Switzerland,159132,Cash Withdrawal,1/3/13 22:00,Person_7747,Finance,South Africa,FALSE,Illegal,1,9,Bank_146,Cayman Islands,14162748,Less Risk,Large Transaction,
TX0000000072,Russia,4717525,Offshore Transfer,1/3/13 23:00,Person_4245,Construction,Singapore,TRUE,Legal,3,1,Bank_268,Bahamas,419859725,Less Risk,Large Transaction,
TX0000000073,South Africa,1070755,Cryptocurrency,1/4/13 0:00,Person_3517,Oil & Gas,India,FALSE,Legal,7,6,Bank_362,Bahamas,95297195,Medium Risk,Large Transaction,
TX0000000074,South Africa,4342358,Property Purchase,1/4/13 1:00,Person_3557,Arms Trade,Russia,FALSE,Illegal,3,6,Bank_15,Panama,386469862,Less Risk,Large Transaction,
TX0000000075,China,3372288,Cash Withdrawal,1/4/13 2:00,Person_9513,Finance,Brazil,TRUE,Legal,1,3,Bank_157,Switzerland,300133632,Less Risk,Large Transaction,
TX0000000076,UK,3458156,Stocks Transfer,1/4/13 3:00,Person_2872,Finance,Brazil,FALSE,Legal,4,1,Bank_15,Cayman Islands,307775884,Less Risk,Large Transaction,
TX0000000077,Switzerland,1511362,Offshore Transfer,1/4/13 4:00,Person_5913,Finance,India,FALSE,Illegal,5,1,Bank_328,Panama,134511218,Medium Risk,Large Transaction,
TX0000000078,Brazil,683434,Property Purchase,1/4/13 5:00,Person_981,Finance,South Africa,FALSE,Illegal,5,5,Bank_368,Switzerland,60825626,Medium Risk,Large Transaction,
TX0000000079,Switzerland,2794778,Cash Withdrawal,1/4/13 6:00,Person_7103,Finance,India,FALSE,Illegal,6,8,Bank_137,Bahamas,248735242,Medium Risk,Large Transaction,
TX0000000080,India,2442766,Offshore Transfer,1/4/13 7:00,Person_5722,Real Estate,UAE,FALSE,Illegal,9,3,Bank_432,Cayman Islands,217406174,Large Risk,Large Transaction,
TX0000000081,UAE,4982819,Cryptocurrency,1/4/13 8:00,Person_4157,Oil & Gas,UAE,FALSE,Illegal,9,7,Bank_237,Singapore,443470891,Large Risk,Large Transaction,
TX0000000082,UAE,235725,Stocks Transfer,1/4/13 9:00,Person_9236,Construction,UK,FALSE,Legal,7,2,Bank_226,Luxembourg,20979525,Medium Risk,Large Transaction,
TX0000000083,UK,4909233,Property Purchase,1/4/13 10:00,Person_508,Oil & Gas,Brazil,FALSE,Illegal,6,0,Bank_180,Switzerland,436921737,Medium Risk,Large Transaction,
TX0000000084,USA,241596,Cash Withdrawal,1/4/13 11:00,Person_2786,Finance,Switzerland,FALSE,Illegal,8,4,Bank_198,Singapore,21502044,Medium Risk,Large Transaction,
TX0000000085,Brazil,1585311,Stocks Transfer,1/4/13 12:00,Person_8997,Arms Trade,UK,FALSE,Illegal,1,6,Bank_320,Luxembourg,141092679,Less Risk,Large Transaction,
TX0000000086,Brazil,3788729,Offshore Transfer,1/4/13 13:00,Person_69,Casinos,Switzerland,FALSE,Legal,9,6,Bank_462,Panama,337196881,Large Risk,Large Transaction,
TX0000000087,Switzerland,3558411,Offshore Transfer,1/4/13 14:00,Person_7486,Casinos,UK,FALSE,Illegal,10,1,Bank_183,Cayman Islands,316698579,Large Risk,Large Transaction,
TX0000000088,South Africa,3808338,Stocks Transfer,1/4/13 15:00,Person_4296,Oil & Gas,Brazil,FALSE,Illegal,9,6,Bank_404,Singapore,338942082,Large Risk,Large Transaction,
TX0000000089,India,2599744,Stocks Transfer,1/4/13 16:00,Person_2439,Luxury Goods,Russia,FALSE,Legal,2,1,Bank_380,Singapore,231377216,Less Risk,Large Transaction,
TX0000000090,USA,2801903,Property Purchase,1/4/13 17:00,Person_173,Construction,USA,FALSE,Illegal,6,7,Bank_195,Bahamas,249369367,Medium Risk,Large Transaction,
TX0000000091,India,626583,Property Purchase,1/4/13 18:00,Person_2660,Casinos,Singapore,FALSE,Legal,7,9,Bank_43,Panama,55765887,Medium Risk,Large Transaction,
TX0000000092,Russia,4173901,Cryptocurrency,1/4/13 19:00,Person_9354,Luxury Goods,Switzerland,FALSE,Illegal,9,0,Bank_87,Luxembourg,371477189,Large Risk,Large Transaction,
TX0000000093,India,2636849,Offshore Transfer,1/4/13 20:00,Person_7169,Finance,UAE,TRUE,Illegal,3,9,Bank_262,Cayman Islands,234679561,Less Risk,Large Transaction,
TX0000000094,Brazil,2585900,Cryptocurrency,1/4/13 21:00,Person_9009,Oil & Gas,India,FALSE,Illegal,10,8,Bank_283,Switzerland,230145100,Large Risk,Large Transaction,
TX0000000095,Russia,305380,Offshore Transfer,1/4/13 22:00,Person_9788,Oil & Gas,Russia,FALSE,Legal,3,2,Bank_352,Luxembourg,27178820,Less Risk,Large Transaction,
TX0000000096,USA,1890855,Cash Withdrawal,1/4/13 23:00,Person_5611,Real Estate,Switzerland,FALSE,Illegal,6,5,Bank_272,Panama,168286095,Medium Risk,Large Transaction,
TX0000000097,Russia,2212451,Cryptocurrency,1/5/13 0:00,Person_4479,Luxury Goods,Switzerland,FALSE,Illegal,10,0,Bank_395,Cayman Islands,196908139,Large Risk,Large Transaction,
TX0000000098,Switzerland,2647815,Stocks Transfer,1/5/13 1:00,Person_4435,Construction,India,FALSE,Legal,4,3,Bank_439,Switzerland,235655535,Less Risk,Large Transaction,
TX0000000099,China,3892984,Offshore Transfer,1/5/13 2:00,Person_3189,Finance,India,TRUE,Illegal,4,3,Bank_493,Cayman Islands,346475576,Less Risk,Large Transaction,
TX0000000100,India,1160840,Cryptocurrency,1/5/13 3:00,Person_2291,Finance,India,FALSE,Illegal,6,7,Bank_288,Switzerland,103314760,Medium Risk,Large Transaction,
TX0000000101,Russia,3987348,Stocks Transfer,1/5/13 4:00,Person_2910,Arms Trade,South Africa,FALSE,Illegal,8,7,Bank_339,Luxembourg,354873972,Medium Risk,Large Transaction,
TX0000000102,UK,3530304,Offshore Transfer,1/5/13 5:00,Person_4769,Luxury Goods,USA,FALSE,Legal,2,9,Bank_24,Switzerland,314197056,Less Risk,Large Transaction,
TX0000000103,India,3736810,Cash Withdrawal,1/5/13 6:00,Person_4542,Arms Trade,UAE,FALSE,Illegal,5,1,Bank_285,Switzerland,332576090,Medium Risk,Large Transaction,
TX0000000104,China,2217804,Cash Withdrawal,1/5/13 7:00,Person_3226,Casinos,India,FALSE,Illegal,8,1,Bank_378,Bahamas,197384556,Medium Risk,Large Transaction,
TX0000000105,Russia,316641,Cash Withdrawal,1/5/13 8:00,Person_4798,Construction,India,FALSE,Illegal,8,3,Bank_120,Luxembourg,28181049,Medium Risk,Large Transaction,
TX0000000106,Russia,979849,Stocks Transfer,1/5/13 9:00,Person_4977,Oil & Gas,Russia,TRUE,Illegal,8,9,Bank_35,Switzerland,87206561,Medium Risk,Large Transaction,
TX0000000107,China,4335717,Cryptocurrency,1/5/13 10:00,Person_9717,Casinos,South Africa,TRUE,Illegal,6,2,Bank_411,Panama,385878813,Medium Risk,Large Transaction,
TX0000000108,China,3944972,Offshore Transfer,1/5/13 11:00,Person_5533,Construction,UK,FALSE,Legal,8,9,Bank_165,Panama,351102508,Medium Risk,Large Transaction,
TX0000000109,South Africa,869589,Stocks Transfer,1/5/13 12:00,Person_661,Luxury Goods,USA,FALSE,Illegal,6,5,Bank_138,Panama,77393421,Medium Risk,Large Transaction,
TX0000000110,Brazil,4904774,Property Purchase,1/5/13 13:00,Person_4795,Real Estate,South Africa,TRUE,Illegal,7,9,Bank_160,Luxembourg,436524886,Medium Risk,Large Transaction,
TX0000000111,China,2888191,Stocks Transfer,1/5/13 14:00,Person_3072,Arms Trade,Russia,FALSE,Legal,6,8,Bank_490,Luxembourg,257048999,Medium Risk,Large Transaction,
TX0000000112,UAE,3599503,Offshore Transfer,1/5/13 15:00,Person_2911,Construction,Singapore,TRUE,Legal,2,9,Bank_60,Luxembourg,320355767,Less Risk,Large Transaction,
TX0000000113,Brazil,2488024,Offshore Transfer,1/5/13 16:00,Person_2000,Construction,Switzerland,FALSE,Illegal,10,1,Bank_409,Switzerland,221434136,Large Risk,Large Transaction,
TX0000000114,Switzerland,4546034,Property Purchase,1/5/13 17:00,Person_4923,Arms Trade,India,FALSE,Illegal,10,8,Bank_401,Luxembourg,404597026,Large Risk,Large Transaction,
TX0000000115,South Africa,511747,Property Purchase,1/5/13 18:00,Person_6663,Construction,South Africa,FALSE,Illegal,5,5,Bank_173,Luxembourg,45545483,Medium Risk,Large Transaction,
TX0000000116,India,4706997,Cash Withdrawal,1/5/13 19:00,Person_1230,Finance,UK,TRUE,Legal,9,8,Bank_264,Switzerland,418922733,Large Risk,Large Transaction,
TX0000000117,China,4408359,Offshore Transfer,1/5/13 20:00,Person_5656,Finance,USA,FALSE,Illegal,8,2,Bank_213,Singapore,392343951,Medium Risk,Large Transaction,
TX0000000118,Singapore,640092,Offshore Transfer,1/5/13 21:00,Person_9769,Real Estate,USA,FALSE,Legal,2,1,Bank_422,Bahamas,56968188,Less Risk,Large Transaction,
TX0000000119,Switzerland,2173854,Stocks Transfer,1/5/13 22:00,Person_5905,Arms Trade,Brazil,FALSE,Illegal,5,6,Bank_258,Bahamas,193473006,Medium Risk,Large Transaction,
TX0000000120,China,1701022,Cryptocurrency,1/5/13 23:00,Person_8383,Real Estate,USA,FALSE,Legal,1,6,Bank_356,Singapore,151390958,Less Risk,Large Transaction,
TX0000000121,Switzerland,2938291,Property Purchase,1/6/13 0:00,Person_1145,Finance,Switzerland,FALSE,Illegal,8,3,Bank_467,Luxembourg,261507899,Medium Risk,Large Transaction,
TX0000000122,UAE,89483,Cash Withdrawal,1/6/13 1:00,Person_5295,Luxury Goods,UK,FALSE,Illegal,10,4,Bank_100,Switzerland,7963987,Large Risk,Medium Transaction,
TX0000000123,USA,3002500,Property Purchase,1/6/13 2:00,Person_7378,Real Estate,USA,TRUE,Illegal,1,7,Bank_459,Singapore,267222500,Less Risk,Large Transaction,
TX0000000124,UAE,2837647,Stocks Transfer,1/6/13 3:00,Person_7432,Construction,India,FALSE,Illegal,4,9,Bank_216,Switzerland,252550583,Less Risk,Large Transaction,
TX0000000125,USA,3336076,Property Purchase,1/6/13 4:00,Person_8881,Finance,India,FALSE,Legal,7,0,Bank_80,Bahamas,296910764,Medium Risk,Large Transaction,
TX0000000126,UK,2180249,Stocks Transfer,1/6/13 5:00,Person_8385,Real Estate,Singapore,TRUE,Illegal,10,7,Bank_234,Luxembourg,194042161,Large Risk,Large Transaction,
TX0000000127,Switzerland,2759018,Cash Withdrawal,1/6/13 6:00,Person_239,Oil & Gas,Brazil,FALSE,Illegal,9,0,Bank_26,Switzerland,245552602,Large Risk,Large Transaction,
TX0000000128,China,313189,Offshore Transfer,1/6/13 7:00,Person_2175,Finance,Russia,FALSE,Illegal,9,4,Bank_74,Bahamas,27873821,Large Risk,Large Transaction,
TX0000000129,India,2476295,Property Purchase,1/6/13 8:00,Person_3364,Real Estate,USA,FALSE,Illegal,4,9,Bank_124,Cayman Islands,220390255,Less Risk,Large Transaction,
TX0000000130,Russia,3402633,Property Purchase,1/6/13 9:00,Person_5865,Luxury Goods,Singapore,FALSE,Legal,1,5,Bank_232,Panama,302834337,Less Risk,Large Transaction,
TX0000000131,Singapore,3382689,Property Purchase,1/6/13 10:00,Person_5801,Construction,Russia,TRUE,Illegal,5,1,Bank_95,Panama,301059321,Medium Risk,Large Transaction,
TX0000000132,Singapore,3048535,Property Purchase,1/6/13 11:00,Person_206,Arms Trade,USA,FALSE,Illegal,3,4,Bank_495,Bahamas,271319615,Less Risk,Large Transaction,
TX0000000133,South Africa,2267349,Offshore Transfer,1/6/13 12:00,Person_3663,Finance,China,FALSE,Illegal,5,6,Bank_391,Panama,201794061,Medium Risk,Large Transaction,
TX0000000134,Singapore,1119119,Property Purchase,1/6/13 13:00,Person_3060,Construction,UAE,FALSE,Illegal,2,9,Bank_442,Cayman Islands,99601591,Less Risk,Large Transaction,
TX0000000135,UAE,3446564,Cryptocurrency,1/6/13 14:00,Person_1053,Construction,China,FALSE,Illegal,5,5,Bank_285,Luxembourg,306744196,Medium Risk,Large Transaction,
TX0000000136,China,3277809,Offshore Transfer,1/6/13 15:00,Person_803,Casinos,China,TRUE,Illegal,6,0,Bank_45,Singapore,291725001,Medium Risk,Large Transaction,
TX0000000137,China,2106375,Stocks Transfer,1/6/13 16:00,Person_1488,Finance,UK,FALSE,Legal,6,6,Bank_242,Switzerland,187467375,Medium Risk,Large Transaction,
TX0000000138,China,870563,Stocks Transfer,1/6/13 17:00,Person_5997,Construction,USA,FALSE,Legal,8,0,Bank_148,Luxembourg,77480107,Medium Risk,Large Transaction,
TX0000000139,Singapore,4101265,Cash Withdrawal,1/6/13 18:00,Person_7018,Luxury Goods,UAE,FALSE,Illegal,5,6,Bank_147,Luxembourg,365012585,Medium Risk,Large Transaction,
TX0000000140,UAE,359089,Offshore Transfer,1/6/13 19:00,Person_4929,Oil & Gas,Switzerland,TRUE,Illegal,6,6,Bank_126,Singapore,31958921,Medium Risk,Large Transaction,
TX0000000141,Russia,4887537,Property Purchase,1/6/13 20:00,Person_9163,Casinos,Russia,FALSE,Legal,8,1,Bank_101,Cayman Islands,434990793,Medium Risk,Large Transaction,
TX0000000142,UAE,2773974,Stocks Transfer,1/6/13 21:00,Person_4942,Real Estate,Brazil,FALSE,Illegal,1,0,Bank_244,Panama,246883686,Less Risk,Large Transaction,
TX0000000143,Russia,1314594,Stocks Transfer,1/6/13 22:00,Person_2712,Real Estate,UK,FALSE,Illegal,9,4,Bank_244,Switzerland,116998866,Large Risk,Large Transaction,
TX0000000144,South Africa,1109090,Cash Withdrawal,1/6/13 23:00,Person_6013,Finance,UK,FALSE,Legal,1,8,Bank_116,Switzerland,98709010,Less Risk,Large Transaction,
TX0000000145,South Africa,946206,Cash Withdrawal,1/7/13 0:00,Person_5803,Casinos,UK,FALSE,Illegal,4,8,Bank_57,Panama,84212334,Less Risk,Large Transaction,
TX0000000146,India,4231632,Cash Withdrawal,1/7/13 1:00,Person_4283,Finance,UAE,FALSE,Illegal,6,2,Bank_123,Luxembourg,376615248,Medium Risk,Large Transaction,
TX0000000147,India,1794370,Cash Withdrawal,1/7/13 2:00,Person_3803,Construction,Switzerland,FALSE,Illegal,5,1,Bank_276,Bahamas,159698930,Medium Risk,Large Transaction,
